id,name,address,category,location,lat,lng,details,reviews
217941,"Snooker World","Al Ittihad Road, Al Khabisi , Dubai, P.O.Box: 87979 , United Arab Emirates",attraction,Dubai,25.26768272914,55.340213710261,http://tour-pedia.org/api/getPlaceDetails?id=217941,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=217941
"Abu Hail Road, Nasr Square, Deira",attraction,114483,25.276077,55.349012,Dubai,"Blues & Cues",4b0587ecf964a5201ba722e3,0,Bar,http://tour-pedia.org/api/getPlaceDetails?id=114483,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114483
Garhoud,attraction,114484,25.228113,55.327813,Dubai,Cooz,4b0587ecf964a5201ca722e3,0,Bar,http://tour-pedia.org/api/getPlaceDetails?id=114484,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114484
"Airport Road, PO Box 10001",attraction,114485,25.247473,55.346031,Dubai,Dubliners,4b0587ecf964a5201ea722e3,0,Pub,http://tour-pedia.org/api/getPlaceDetails?id=114485,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114485
"Grosvenor House Dubai",attraction,114486,25.085733329588,55.144173820262,Dubai,"Bar 44",4b0587ecf964a5201fa722e3,0,"Cocktail Bar",http://tour-pedia.org/api/getPlaceDetails?id=114486,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114486
"Jebel Ali Golf Resort & Spa فندق ومنتجع جبل علي للجولف",attraction,114487,24.987638,55.023284,Dubai,"Captain's Bar",4b0587ecf964a52022a722e3,0,Bar,http://tour-pedia.org/api/getPlaceDetails?id=114487,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114487
"Al Muteena Street, PO Box 25570",attraction,114488,25.273637426986,55.319174103334,Dubai,"El Rancho",4b0587ecf964a52025a722e3,0,Bar,http://tour-pedia.org/api/getPlaceDetails?id=114488,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114488
"Deira Corniche",attraction,114489,25.278499668059,55.304108558252,Dubai,"Carpenter's Bar",4b0587ecf964a52026a722e3,0,Bar,http://tour-pedia.org/api/getPlaceDetails?id=114489,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114489
"Al Muteena Street, Deira, PO Box 25570",attraction,114490,25.273478673793,55.319249707674,Dubai,"African Star",4b0587ecf964a52028a722e3,0,Bar,http://tour-pedia.org/api/getPlaceDetails?id=114490,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114490
"Jumeirah Beach Hotel",attraction,114493,25.141556,55.190221,Dubai,"Dhow and Anchor",4b0587ecf964a5202da722e3,0,"Sports Bar",http://tour-pedia.org/api/getPlaceDetails?id=114493,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114493
"Abu Hail Road",attraction,114494,25.275893261996,55.347081993383,Dubai,"Al Khan Shisha Club",4b0587ecf964a5202fa722e3,0,Bar,http://tour-pedia.org/api/getPlaceDetails?id=114494,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114494
"Salah Al Din Road, Deira",attraction,114495,25.270369239919,55.327199332858,Dubai,"Harry's Place",4b0587ecf964a52031a722e3,0,Bar,http://tour-pedia.org/api/getPlaceDetails?id=114495,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114495
"Al Murooj Rotana",attraction,114496,25.202441486023,55.277420282364,Dubai,"Double Decker",4b0587ecf964a52032a722e3,0,Pub,http://tour-pedia.org/api/getPlaceDetails?id=114496,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114496
"Dubai Marine Beach Resort & Spa",attraction,114497,25.234141597463,55.262559645294,Dubai,Boudoir,4b0587ecf964a52033a722e3,0,Nightclub,http://tour-pedia.org/api/getPlaceDetails?id=114497,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114497
"Dubai Media City",attraction,114499,25.092750284412,55.148620605469,Dubai,"The Westin Dubai Mina Seyahi Beach Resort & Marina",4b0587ecf964a520f1a622e3,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=114499,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114499
"Al Mateena Street",attraction,114500,25.274727173984,55.327804225555,Dubai,"Lindbergh's Bar",4b0587ecf964a520f2a622e3,0,Bar,http://tour-pedia.org/api/getPlaceDetails?id=114500,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114500
"2nd December Street",attraction,114501,25.237242916673,55.27413725853,Dubai,"Boston Bar @ Jumeira Rotana",4b0587ecf964a520f3a622e3,0,Bar,http://tour-pedia.org/api/getPlaceDetails?id=114501,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114501
"Sea Shell Inn",attraction,114502,25.25902051094,55.286319480147,Dubai,"American Dream",4b0587ecf964a520f4a622e3,0,Bar,http://tour-pedia.org/api/getPlaceDetails?id=114502,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114502
Deira,attraction,114503,25.27680803479,55.347443931435,Dubai,"The Cricketers",4b0587ecf964a520f5a622e3,0,"Sports Bar",http://tour-pedia.org/api/getPlaceDetails?id=114503,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114503
"Bur Dubai",attraction,114504,25.257709069241,55.297278630256,Dubai,Goodfellas,4b0587ecf964a520f6a622e3,0,Bar,http://tour-pedia.org/api/getPlaceDetails?id=114504,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114504
"Rydges Plaza Hotel",attraction,114505,25.235403623782,55.279469368998,Dubai,"Champs Bar & Grill",4b0587ecf964a520f7a622e3,0,"Sports Bar",http://tour-pedia.org/api/getPlaceDetails?id=114505,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114505
,attraction,114507,25.13702127579,55.187261917579,Dubai,"The Apartment",4b0587ecf964a520faa622e3,0,"Home (private)",http://tour-pedia.org/api/getPlaceDetails?id=114507,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114507
"Jumeirah Beach Hotel",attraction,114508,25.142934260084,55.191450119019,Dubai,Uptown,4b0587ecf964a520fca622e3,0,"Cocktail Bar",http://tour-pedia.org/api/getPlaceDetails?id=114508,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114508
"Abu Baker Al Siddique Road, Dubai, UAE",attraction,114509,25.268488257191,55.330291986465,Dubai,"Champions Sports Bar at JW Marriott Hotel Dubai (Official Marriott)",4b0587ecf964a520fda622e3,0,"Sports Bar",http://tour-pedia.org/api/getPlaceDetails?id=114509,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114509
"The Fairmont",attraction,114510,25.226268965638,55.284467899187,Dubai,"The Cigar Bar",4b0587edf964a52036a722e3,0,"Hookah Bar",http://tour-pedia.org/api/getPlaceDetails?id=114510,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114510
"Mina A'Salam Madinat Jumeirah",attraction,114511,25.135222461392,55.186085700989,Dubai,"Bahri Bar",4b0587edf964a5203ba722e3,0,Bar,http://tour-pedia.org/api/getPlaceDetails?id=114511,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114511
"First Floor, Galleria Mall, Dubai Corniche",attraction,114512,25.278985663328,55.304682254791,Dubai,"Hibiki Music Lounge",4b0587edf964a5203ca722e3,0,Bar,http://tour-pedia.org/api/getPlaceDetails?id=114512,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114512
114513,"George & Dragon Pub","Al Falah Street, P. O. Box 3226, Bur Dubai",attraction,Dubai,25.263011597598,55.290983697016,http://tour-pedia.org/api/getPlaceDetails?id=114513,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114513
,attraction,114514,25.185758111178,55.253544822245,Dubai,Chaos,4b0587edf964a52041a722e3,0,"Home (private)",http://tour-pedia.org/api/getPlaceDetails?id=114514,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114514
"Al Mankhool Road, Bur Dubai",attraction,114516,25.254881,55.293147,Dubai,Jockeys,4b0587edf964a52043a722e3,0,"Sports Bar",http://tour-pedia.org/api/getPlaceDetails?id=114516,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114516
"Sheik Zayed Road, PO Box 22380",attraction,114517,25.082358737907,55.152449963545,Dubai,Amnesia,4b0587edf964a52046a722e3,0,Bar,http://tour-pedia.org/api/getPlaceDetails?id=114517,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114517
"Towers Rotana",attraction,114518,25.2135124,55.27693,Dubai,"Long's Bar",4b0587edf964a52048a722e3,0,"Hotel Bar",http://tour-pedia.org/api/getPlaceDetails?id=114518,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114518
"Jumeirah Beach Road, Po Box 5182",attraction,114519,25.270637894404,55.327204733667,Dubai,"Lounge Bar",4b0587edf964a52049a722e3,0,"Wine Bar",http://tour-pedia.org/api/getPlaceDetails?id=114519,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114519
"Sheikh Zayed Road, Next to Novotel Hotel",attraction,114520,25.223100791356,55.286200718659,Dubai,"Lotus One",4b0587edf964a5204aa722e3,0,Bar,http://tour-pedia.org/api/getPlaceDetails?id=114520,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114520
"Bank Street",attraction,114521,25.258730216881,55.296641557808,Dubai,"Club Africana",4b0587edf964a5204ca722e3,0,Bar,http://tour-pedia.org/api/getPlaceDetails?id=114521,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114521
"Bin Yas Street, Deira",attraction,114522,25.265373634674,55.311187417325,Dubai,"The Pub",4b0587edf964a5204ea722e3,0,"Sports Bar",http://tour-pedia.org/api/getPlaceDetails?id=114522,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114522
"Al Qasr, Madinat Jumeirah",attraction,114523,25.132528495977,55.184083374084,Dubai,Koubba,4b0587edf964a5204fa722e3,0,"Cocktail Bar",http://tour-pedia.org/api/getPlaceDetails?id=114523,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114523
"Bin Yas Street",attraction,114525,25.265378,55.310439,Dubai,"La Moda",4b0587edf964a52055a722e3,0,Bar,http://tour-pedia.org/api/getPlaceDetails?id=114525,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114525
"Bur Dubai",attraction,114526,25.257702565574,55.297186848343,Dubai,Rockafellas,4b0587edf964a52058a722e3,0,Bar,http://tour-pedia.org/api/getPlaceDetails?id=114526,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114526
"Al Riqqa Street, Near Al Ghurair Centre, Deira",attraction,114527,25.25733,55.33084,Dubai,Rasputin,4b0587edf964a52059a722e3,0,Pub,http://tour-pedia.org/api/getPlaceDetails?id=114527,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114527
"The Metropolitan Hotel",attraction,114529,25.182891782958,55.252058182216,Dubai,"Rattle Snake",4b0587edf964a5205da722e3,0,Bar,http://tour-pedia.org/api/getPlaceDetails?id=114529,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114529
"Opposite American Hospital, P. O. Box 32733",attraction,114530,25.23389193177,55.311635602604,Dubai,Somerset's,4b0587edf964a5205ea722e3,0,Pub,http://tour-pedia.org/api/getPlaceDetails?id=114530,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114530
"Jumeirah Beach Road",attraction,114531,25.099199,55.153759,Dubai,"Rooftop Bar @ The Royal Mirage",4b0587edf964a5205fa722e3,0,Bar,http://tour-pedia.org/api/getPlaceDetails?id=114531,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114531
"Khalid Bin Walid Street",attraction,114532,25.259506869182,55.288311458576,Dubai,Mehfil,4b0587edf964a52062a722e3,0,Bar,http://tour-pedia.org/api/getPlaceDetails?id=114532,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114532
"Al Maktoum Street, Deira",attraction,114533,25.258440152181,55.322738379837,Dubai,"Red Square Nightclub",4b0587edf964a52064a722e3,0,Bar,http://tour-pedia.org/api/getPlaceDetails?id=114533,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114533
"World Trade Center Road, PO Box 7978",attraction,114534,25.2274478,55.327481,Dubai,MIX,4b0587edf964a52065a722e3,0,Bar,http://tour-pedia.org/api/getPlaceDetails?id=114534,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114534
"Al Sufouh Road, P.O. Box 53567",attraction,114535,25.073431964885,55.128851140907,Dubai,"Moods Bar",4b0587edf964a52066a722e3,0,"Cocktail Bar",http://tour-pedia.org/api/getPlaceDetails?id=114535,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114535
"Hilton Dubai Jumeirah Resort, Dubai 2431",attraction,114536,25.07843737443,55.134394168854,Dubai,"Studio One",4b0587edf964a52068a722e3,0,Bar,http://tour-pedia.org/api/getPlaceDetails?id=114536,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114536
"133 Sheikh Zayed Road",attraction,114537,25.206386,55.272815,Dubai,"Splash Pool Bar",4b0587edf964a5206aa722e3,0,Bar,http://tour-pedia.org/api/getPlaceDetails?id=114537,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114537
"Jumeirah Beach Road",attraction,114538,25.145103270567,55.192387196949,Dubai,"Sunset Beach Bar",4b0587edf964a5206ea722e3,0,Bar,http://tour-pedia.org/api/getPlaceDetails?id=114538,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114538
"Al Diyafah Street, Satwa Roundabout",attraction,114540,25.235041173733,55.279798636907,Dubai,"St Andrews English Pub",4b0587edf964a52070a722e3,0,Bar,http://tour-pedia.org/api/getPlaceDetails?id=114540,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114540
