,address,id,lat,lng,location,name,subCategory,details
1119,Vondelpark,29797,52.360492831241,4.8769104480743,Amsterdam,Vondelbrug (Brug 200),Bridge,http://tour-pedia.org/api/getPlaceDetails?id=29797
1121,Van Baerlestraat 33A,29799,52.356917559687,4.8797693806807,Amsterdam,Museumpromenade,Outdoors & Recreation,http://tour-pedia.org/api/getPlaceDetails?id=29799
1122,Dusartstraat 51,29801,52.3512273219,4.8893880844116,Amsterdam,Cafe Fonk,Bar,http://tour-pedia.org/api/getPlaceDetails?id=29801
1123,Museumplein,29802,52.358749962974,4.8835730552673,Amsterdam,Museumplein vijver,Lake,http://tour-pedia.org/api/getPlaceDetails?id=29802
1124,Albert Cuypstraat 92HS,29803,52.355109868796,4.890805321056,Amsterdam,De Cuyp,Plaza,http://tour-pedia.org/api/getPlaceDetails?id=29803
1125,Gerard Doustraat 58HS,29804,52.355497519905,4.8907506924431,Amsterdam,Eddy Bar,Bar,http://tour-pedia.org/api/getPlaceDetails?id=29804
1126,Rustenburgerstraat 384,29805,52.351489819585,4.8918250410449,Amsterdam,C.C. Muziekcafé,Piano Bar,http://tour-pedia.org/api/getPlaceDetails?id=29805
1127,Ferdinand Bolstraat 72HS,29806,52.355228945507,4.8902177403545,Amsterdam,Café Pico,Bar,http://tour-pedia.org/api/getPlaceDetails?id=29806
1128,Museumplein,29807,52.359025157271,4.8832726478577,Amsterdam,Museumplein fontein,Sculpture Garden,http://tour-pedia.org/api/getPlaceDetails?id=29807
1129,PC Hooftstraat,29808,52.359464154148,4.877758026123,Amsterdam,Fashion & Museum District Amsterdam,Neighborhood,http://tour-pedia.org/api/getPlaceDetails?id=29808
1130,Europaplein 22,29810,52.34142237675,4.8868131637573,Amsterdam,Strand Zuid,Beach,http://tour-pedia.org/api/getPlaceDetails?id=29810
1131,Europaplein 22,29812,52.341384,4.88657,Amsterdam,Zuidpool,Bar,http://tour-pedia.org/api/getPlaceDetails?id=29812
1134,Amsterdam RAI,29815,52.341399824906,4.8869285332601,Amsterdam,"Beach bar, IBC",Beer Garden,http://tour-pedia.org/api/getPlaceDetails?id=29815
1135,Churchillaan 221,29816,52.3471617,4.8869007166667,Amsterdam,Churchillaan,Other Great Outdoors,http://tour-pedia.org/api/getPlaceDetails?id=29816
1136,Apollolaan,29817,52.350555404378,4.8727170801557,Amsterdam,ArtZuid,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=29817
1137,Cornelis Schuytstraat 57,29818,52.353809,4.872614,Amsterdam,Christie's,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=29818
1138,Jan Willem Brouwersstraat 14,29819,52.356587,4.878283,Amsterdam,Hotel AnneMarie,Hostel,http://tour-pedia.org/api/getPlaceDetails?id=29819
1145,Beethovenstraat,29826,52.342758619049,4.8765327081338,Amsterdam,Café Luus,Bar,http://tour-pedia.org/api/getPlaceDetails?id=29826
1148,Amstelpark,29831,52.331983871129,4.8911660020099,Amsterdam,Rosarium Amsterdam,Convention Center,http://tour-pedia.org/api/getPlaceDetails?id=29831
1149,Amstelpark,29834,52.328782849704,4.8910510540009,Amsterdam,Rode Brug (Brug 836),Bridge,http://tour-pedia.org/api/getPlaceDetails?id=29834
1150,Kostverlorenkade,29835,52.322438071322,4.891745442922,Amsterdam,Kostverlorenkade,Scenic Lookout,http://tour-pedia.org/api/getPlaceDetails?id=29835
1153,Nesserland,29838,52.422249,4.892545,Amsterdam,Stokkenveldje & Horsies!,Dog Run,http://tour-pedia.org/api/getPlaceDetails?id=29838
1156,Oostzanerdijk 14,29842,52.41889389043,4.8945009962333,Amsterdam,Dyllie,Lounge,http://tour-pedia.org/api/getPlaceDetails?id=29842
1157,Couhornerhoek 24,29843,52.422693066853,4.8971772193909,Amsterdam,3 and a Crowd,Arts & Entertainment,http://tour-pedia.org/api/getPlaceDetails?id=29843
1158,Kometensingel 84HS,29844,52.415326866667,4.8922306666667,Amsterdam,Elwin Varkevisser Fotografie,Arts & Entertainment,http://tour-pedia.org/api/getPlaceDetails?id=29844
1160,Zonneplein (Tuindorp Oostzaan),29846,52.413119940263,4.8909223079681,Amsterdam,Zonneplein,Plaza,http://tour-pedia.org/api/getPlaceDetails?id=29846
1161,Perenpad,29847,52.413697116266,4.8956370688033,Amsterdam,sv De Meteoor,Soccer Field,http://tour-pedia.org/api/getPlaceDetails?id=29847
1162,Zonneplein 30,29848,52.413229262859,4.8910533285643,Amsterdam,Het Zonnehuis,Theater,http://tour-pedia.org/api/getPlaceDetails?id=29848
1163,Amandelstraat,29849,52.410082017626,4.8979550600052,Amsterdam,Speeltuin Amandelstraat,Playground,http://tour-pedia.org/api/getPlaceDetails?id=29849
1165,Perenpad,29851,52.412259660457,4.8948153268812,Amsterdam,Honkbalvereniging 'De Meteoor',Baseball Field,http://tour-pedia.org/api/getPlaceDetails?id=29851
1166,Tt. Neveritaweg 33,29852,52.399521845227,4.8966862038478,Amsterdam,Noorderlicht,Bar,http://tour-pedia.org/api/getPlaceDetails?id=29852
1167,TT. Neveritaweg 15A,29853,52.40143,4.895369,Amsterdam,Skatepark,Skate Park,http://tour-pedia.org/api/getPlaceDetails?id=29853
1168,NDSM-werf,29854,52.399950550391,4.8942243803182,Amsterdam,Voltt Loves Summer,Music Venue,http://tour-pedia.org/api/getPlaceDetails?id=29854
1169,Tt. Neveritaweg 15,29855,52.40062529145,4.8955893516541,Amsterdam,Bunker (Helling 3),Nightclub,http://tour-pedia.org/api/getPlaceDetails?id=29855
1170,T. T Vasumweg 20-22,29856,52.40293,4.896875,Amsterdam,Partycentrum Noord,Music Venue,http://tour-pedia.org/api/getPlaceDetails?id=29856
1171,TT Neveritaweg 15n,29857,52.401214432437,4.8962759971619,Amsterdam,PickUp Club,General Entertainment,http://tour-pedia.org/api/getPlaceDetails?id=29857
1173,Neveritaweg 15,29859,52.40118824856,4.8966836929321,Amsterdam,NDSM theater ITW,Indie Movie Theater,http://tour-pedia.org/api/getPlaceDetails?id=29859
1175,Tegenhouderstraat 92,29861,52.406294,4.896834,Amsterdam,'t Dierenhonk,Playground,http://tour-pedia.org/api/getPlaceDetails?id=29861
