address,category,id,lat,lng,location,name,originalId,polarity,subCategory,details,reviews
"9 Fitzmaurice Place",accommodation,37294,51.508196905965,-0.14525456040594,London,"The Lansdowne Club",4ae99903f964a52044b521e3,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=37294,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37294
"Nightingale Lane",accommodation,37370,51.450961853965,-0.29953524305495,London,"The Petersham Hotel & Restaurant",4aecaf28f964a52043ca21e3,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=37370,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37370
Battersea,accommodation,37597,51.471706934186,-0.14513969421387,London,"BSL Depot (Gatwick express)",4afe14fdf964a520c42d22e3,0,Building,http://tour-pedia.org/api/getPlaceDetails?id=37597,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37597
"1 Westferry Circus",accommodation,37663,51.506476334882,-0.026795684807709,London,"De Vere Venues",4b02848ef964a520d34822e3,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=37663,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37663
"Coriander Ave.",accommodation,37833,51.511333284713,-0.0040769577026367,London,Travelodge,4b0e8c67f964a520605823e3,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=37833,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37833
"Abbey Rd.",accommodation,38022,51.532034565777,-0.1773476600647,London,"Abbey Road Crossing",4b1ab25af964a5209eef23e3,0,"Monument / Landmark",http://tour-pedia.org/api/getPlaceDetails?id=38022,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=38022
"3 Kingdom Street",accommodation,38495,51.519331863841,-0.18249750137329,London,Novotel,4b4842f9f964a520c84a26e3,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=38495,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=38495
"14 king street, Richmond",accommodation,38635,51.459999,-0.30698,London,"bethehurricane HQ",4b508dc5f964a520172727e3,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=38635,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=38635
"75 Davies St",accommodation,38746,51.514110913776,-0.14964580535889,London,"West One Shopping Centre",4b53252ef964a5203c9027e3,0,Mall,http://tour-pedia.org/api/getPlaceDetails?id=38746,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=38746
"21 North End",accommodation,39030,51.37614,-0.102498,London,"Centrale Shopping Centre",4b5c7821f964a520513129e3,0,Mall,http://tour-pedia.org/api/getPlaceDetails?id=39030,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=39030
39395,"Holiday Inn","Tilling Rd, Brent Cross",accommodation,London,51.572935463759,-0.2226448059082,http://tour-pedia.org/api/getPlaceDetails?id=39395,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=39395
"18 Lodge Rd",accommodation,39438,51.529674374885,-0.16889425767248,London,"Danubius Hotel",4b6d0706f964a520b1632ce3,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=39438,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=39438
"1 Harrow Pl.",accommodation,39470,51.515550253166,-0.077428841246662,London,Travelodge,4b6dbefdf964a520e18b2ce3,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=39470,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=39470
"112 Pritchard Rd.",accommodation,39489,51.535258071836,-0.062613487243652,London,"The Perserverance",4b6dffe3f964a52055a22ce3,0,Pub,http://tour-pedia.org/api/getPlaceDetails?id=39489,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=39489
"7-12 City Rd",accommodation,39547,51.522496189326,-0.087289810180664,London,Travelodge,4b709dd0f964a52079252de3,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=39547,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=39547
"Stall 63, Surrey Street Market",accommodation,39598,51.372322,-0.10101,London,"Faith Wok Chinese Food",4b72ba37f964a520bc852de3,0,"Food Truck",http://tour-pedia.org/api/getPlaceDetails?id=39598,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=39598
39641,Travelodge,"100 King's Cross Rd.",accommodation,London,51.529458266388,-0.11554956436157,http://tour-pedia.org/api/getPlaceDetails?id=39641,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=39641
39987,"Grosvenor House","86-90 Park Lane, London, United Kingdom",accommodation,London,51.509654,-0.154151,http://tour-pedia.org/api/getPlaceDetails?id=39987,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=39987
