address,category,id,lat,lng,location,name,originalId,polarity,subCategory,details,reviews
,accommodation,31740,52.369598,4.849492,Amsterdam,"Orteliusstraat 184-3",522e201c11d2a6f810e27ba2,0,"Roof Deck",http://tour-pedia.org/api/getPlaceDetails?id=31740,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31740
"Titus van Rijnstraat",accommodation,31745,52.357446947231,4.8454717644354,Amsterdam,besthotelfordogs.com,51e96bcc498efee22a2dee56,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=31745,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31745
"Nachtwachtlaan 11, Amsterdam, Netherlands, 1058 EV",accommodation,31748,52.357660143524,4.8447188115051,Amsterdam,"Bastion Hotel Amsterdam",5198e2e4498e5de527144d95,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=31748,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31748
,accommodation,31821,52.362379671032,4.8519260335898,Amsterdam,"Casa Kayzel-Martinez",502134a2e4b089949d694c71,0,Resort,http://tour-pedia.org/api/getPlaceDetails?id=31821,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31821
,accommodation,31828,52.354501987387,4.8531306294395,Amsterdam,"Bed and Breakfast Amsterdam",4e73f636a809582dd546c2de,0,"Bed & Breakfast",http://tour-pedia.org/api/getPlaceDetails?id=31828,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31828
"Havenstraat 3a Loods 22",accommodation,31839,52.346930497088,4.8522721926536,Amsterdam,MR4Cycles.nl,50afb653e4b08847dab500e4,0,"Bike Shop",http://tour-pedia.org/api/getPlaceDetails?id=31839,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31839
"Amstelveenseweg 646",accommodation,31855,52.333686995487,4.8554688692093,Amsterdam,"Olery HQ",4c5ee26f17f3b713566724e6,0,"Tech Startup",http://tour-pedia.org/api/getPlaceDetails?id=31855,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31855
,accommodation,31861,52.332564,4.852985,Amsterdam,"B&B Bos en Meer",51eba620498ee2a4d7e09afd,0,"Bed & Breakfast",http://tour-pedia.org/api/getPlaceDetails?id=31861,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31861
"Corn. Douwesweg 15",accommodation,31951,52.415336966515,4.8746573925018,Amsterdam,"BP Cornelis Douwesweg",4c4ddb3bdb2c20a11f6d8573,0,"Gas Station / Garage",http://tour-pedia.org/api/getPlaceDetails?id=31951,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31951
"Spaarndammerdijk 304",accommodation,31958,52.392751960469,4.8685943205015,Amsterdam,"Tulip Inn Amsterdam Art",4a51bdc1f964a5202eb11fe3,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=31958,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31958
,accommodation,31961,52.392587,4.869156,Amsterdam,"Arts Hotel",4dcd494fd164679b8ce25952,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=31961,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31961
,accommodation,31983,52.383406530735,4.8775670072421,Amsterdam,"The Floorcasa",4b06f547f964a52041f422e3,0,"Home (private)",http://tour-pedia.org/api/getPlaceDetails?id=31983,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31983
,accommodation,32019,52.351549932622,4.8721034073664,Amsterdam,"Hilton Executive Lounge",4f2d01f2e4b0479648ddd85a,0,"Roof Deck",http://tour-pedia.org/api/getPlaceDetails?id=32019,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=32019
"Van Nijenrodeweg",accommodation,32043,52.32741,4.871802,Amsterdam,"360 Sky Lounge",4e107c05c65b4a49f3043e84,0,"Roof Deck",http://tour-pedia.org/api/getPlaceDetails?id=32043,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=32043
,accommodation,32068,52.421156167761,4.8770608383054,Amsterdam,"Thuis Bij m'n Princess",505296f7e4b03ac261a1e547,0,"Bed & Breakfast",http://tour-pedia.org/api/getPlaceDetails?id=32068,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=32068
,accommodation,32111,52.382644,4.883256,Amsterdam,"Dream On",51841ec9498e87fa41dcaed7,0,"Bed & Breakfast",http://tour-pedia.org/api/getPlaceDetails?id=32111,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=32111
,accommodation,32127,52.374625,4.879438,Amsterdam,"Amsterdam's Treasure Apartment",527b6af1498e687e43f60c97,0,"Bed & Breakfast",http://tour-pedia.org/api/getPlaceDetails?id=32127,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=32127
,accommodation,32155,52.367333,4.88144,Amsterdam,"Cosy Canal Apartaments",524fdafe11d2160fb195b579,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=32155,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=32155
"Teilingen 45",accommodation,32207,52.327414451971,4.8720963562198,Amsterdam,"Htel 360 Sky Lounge",4e1079ff483bee47ff2944a4,0,"Roof Deck",http://tour-pedia.org/api/getPlaceDetails?id=32207,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=32207
"Kastelenstraat 64",accommodation,32216,52.326076,4.884017,Amsterdam,"Toerkoop Reisburo Van Gelder",4d26c7aedbc160fc299940b6,0,"Travel Agency",http://tour-pedia.org/api/getPlaceDetails?id=32216,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=32216
"Kraanspoor 42",accommodation,32236,52.403892,4.886684,Amsterdam,"Experience Travel",4e8fff7330f81ec6ff4dc0e2,0,"Travel & Transport",http://tour-pedia.org/api/getPlaceDetails?id=32236,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=32236
"Amstel Botel Amsterdam, NDSM-pier 3, 1033 RG Amsterdam",accommodation,32255,52.400684356689,4.8894414901733,Amsterdam,"The luv Boat",4f7e0e01e4b0a665d279e9c4,0,Motel,http://tour-pedia.org/api/getPlaceDetails?id=32255,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=32255
"Amstel Botel Amsterdam, NDSM-pier 3, 1033 RG Amsterdam",accommodation,32259,52.400417686093,4.8892417350497,Amsterdam,"The Luv Boat",4f7e0ed9e4b01995c05a109d,0,Motel,http://tour-pedia.org/api/getPlaceDetails?id=32259,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=32259
Lindengracht,accommodation,32274,52.380173347042,4.884068103015,Amsterdam,"Lindengracht Markt",4a7d5e03f964a520a4ee1fe3,0,"Flea Market",http://tour-pedia.org/api/getPlaceDetails?id=32274,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=32274
"Keizersgracht 15",accommodation,32279,52.379113,4.889878,Amsterdam,"Hotel/ Bar Sebastian's",4cfa4632a9042c0f9891e00a,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=32279,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=32279
